------------------------------------------------------------------------------
|      Name|   Arrival|     Burst|     Start|    Finish|   Waiting|TurnAround|
|       234|       266|       198|     54934|     42490|     42026|     42224|
|       194|       267|        67|     55132|      4238|      3904|      3971|
|       203|       269|       479|     55199|    223997|    223249|    223728|
|       207|       269|       408|     55678|    167324|    166647|    167055|
|       179|       270|        73|     56086|      5843|      5500|      5573|
|       220|       270|        99|     56159|     10315|      9946|     10045|
|       228|       271|       137|     56258|     21650|     21242|     21379|
|       263|       271|       443|     56395|    198230|    197516|    197959|
|       213|       274|       324|     56838|    107981|    107383|    107707|
|       260|       276|       303|     57162|     94225|     93646|     93949|
|       266|       276|        30|     57465|      1263|       957|       987|
|       230|       278|       281|     57495|     80703|     80144|     80425|
|       277|       278|        94|     57776|      9441|      9069|      9163|
|       200|       280|       246|     57870|     62809|     62283|     62529|
|       232|       281|       161|     58116|     28360|     27918|     28079|
|       265|       285|       174|     58277|     32375|     31916|     32090|
|       275|       285|         4|     58451|       298|         9|        13|
|       212|       287|       440|     58455|    197345|    196618|    197058|
|       247|       288|       176|     58895|     33423|     32959|     33135|
|       254|       288|       195|     59071|     41510|     41027|     41222|
|       284|       288|       278|     59266|     80143|     79577|     79855|
|       210|       291|       383|     59544|    150719|    150045|    150428|
|       227|       292|       455|     59927|    207654|    206907|    207362|
|       196|       294|       428|     60382|    187807|    187085|    187513|
|       197|       294|        61|     60810|      3732|      3377|      3438|
|       278|       294|       481|     60871|    226398|    225623|    226104|
|       289|       294|        93|     61352|      9347|      8960|      9053|
|       257|       298|       256|     61445|     67564|     67010|     67266|
|       255|       299|       212|     61701|     47412|     46901|     47113|
|       287|       299|       497|     61913|    240616|    239820|    240317|
|       235|       300|       384|     62410|    151871|    151187|    151571|
|       293|       300|       224|     62794|     52219|     51695|     51919|
|       253|       301|       436|     63018|    194281|    193544|    193980|
|       259|       302|       317|     63454|    102853|    102234|    102551|
|       271|       302|       151|     63771|     25855|     25402|     25553|
|       282|       302|        39|     63922|      1842|      1501|      1540|
|       269|       304|       289|     63961|     84123|     83530|     83819|
|       252|       306|       372|     64250|    141675|    140997|    141369|
|       262|       308|       355|     64622|    129289|    128626|    128981|
|       267|       308|       429|     64977|    189092|    188355|    188784|
