------------------------------------------------------------------------------
|      Name|   Arrival|     Burst|     Start|    Finish|   Waiting|TurnAround|
|       174|       212|        98|     40430|      9808|     40423|     40521|
|       126|       216|       297|     40528|     89119|     40521|     40818|
|       153|       218|       191|     40825|     40722|     40818|     41009|
|       182|       218|        56|     41016|      3232|     41009|     41065|
|       190|       218|        45|     41072|      1924|     41065|     41110|
|       156|       219|       370|     41117|    139448|     41110|     41480|
|       155|       221|       305|     41487|     95441|     41480|     41785|
|       173|       221|       470|     41792|    217821|     41785|     42255|
|       181|       221|       390|     42262|    156137|     42255|     42645|
|       222|       221|       147|     42652|     24153|     42645|     42792|
|       147|       224|       320|     42799|    104444|     42792|     43112|
|       187|       225|       351|     43119|    126463|     43112|     43463|
|       136|       226|        82|     43470|      6874|     43463|     43545|
|       191|       226|       244|     43552|     61338|     43545|     43789|
|       218|       226|       188|     43796|     39205|     43789|     43977|
|       135|       227|       384|     43984|    151487|     43977|     44361|
|       209|       227|       143|     44368|     22707|     44361|     44504|
|       198|       228|       206|     44511|     45303|     44504|     44710|
|       224|       228|       127|     44717|     17756|     44710|     44837|
|       184|       230|       273|     44844|     77113|     44837|     45110|
|       214|       230|        35|     45117|       452|     45110|     45145|
|       185|       232|       295|     45152|     87342|     45145|     45440|
|       195|       232|       258|     45447|     68592|     45440|     45698|
|       211|       233|       103|     45705|     11221|     45698|     45801|
|       221|       233|       177|     45808|     33741|     45801|     45978|
|       226|       233|       417|     45985|    175981|     45978|     46395|
|       205|       235|        56|     46402|      3288|     46395|     46451|
|       166|       236|       374|     46458|    143912|     46451|     46825|
|       215|       236|       112|     46832|     13056|     46825|     46937|
|       162|       238|       203|     46944|     44074|     46937|     47140|
|       189|       241|       140|     47147|     21718|     47140|     47280|
|       233|       241|        10|     47287|       251|     47280|     47290|
|       208|       243|       122|     47297|     15763|     47290|     47412|
|       225|       243|       122|     47419|     15885|     47412|     47534|
|       240|       243|       220|     47541|     49549|     47534|     47754|
|       231|       245|       306|     47761|     96967|     47754|     48060|
|       238|       245|       495|     48067|    236651|     48060|     48555|
|       163|       246|        24|     48562|       335|     48555|     48579|
|       216|       246|       299|     48586|     90611|     48579|     48878|
|       199|       248|        64|     48885|      3960|     48878|     48942|
|       154|       249|       419|     48949|    177652|     48942|     49361|
|       176|       249|       346|     49368|    123328|     49361|     49707|
|       219|       249|       242|     49714|     60125|     49707|     49949|
|       250|       249|       391|     49956|    158089|     49949|     50340|
|       157|       250|       311|     50347|    101287|     50340|     50651|
|       223|       250|       190|     50658|     40340|     50651|     50841|
|       171|       251|       426|     50848|    185246|     50841|     51267|
|       193|       251|       262|     51274|     70413|     51267|     51529|
|       201|       251|        23|     51536|       311|     51529|     51552|
|       180|       252|       264|     51559|     71466|     51552|     51816|
|       249|       252|        97|     51823|      9516|     51816|     51913|
|       202|       253|        95|     51920|      9419|     51913|     52008|
|       206|       253|       465|     52015|    214548|     52008|     52473|
|       167|       254|       390|     52480|    156527|     52473|     52863|
|       169|       254|       329|     52870|    112876|     52863|     53192|
|       239|       254|       309|     53199|     99429|     53192|     53501|
|       183|       258|       321|     53508|    106046|     53501|     53822|
|       204|       259|       380|     53829|    148815|     53822|     54202|
|       241|       261|        18|     54209|       284|     54202|     54220|
|       178|       264|       242|     54227|     60367|     54220|     54462|
|       192|       266|       465|     54469|    215013|     54462|     54927|
|       234|       266|       198|     54934|     42470|     54927|     55125|
|       194|       267|        67|     55132|      4027|     55125|     55192|
|       203|       269|       479|     55199|    223997|     55192|     55671|
|       207|       269|       408|     55678|    167324|     55671|     56079|
|       179|       270|        73|     56086|      5632|     56079|     56152|
|       220|       270|        99|     56159|     10104|     56152|     56251|
|       228|       271|       137|     56258|     21439|     56251|     56388|
|       263|       271|       443|     56395|    198230|     56388|     56831|
|       213|       274|       324|     56838|    107981|     56831|     57155|
|       260|       276|       303|     57162|     94225|     57155|     57458|
|       266|       276|        30|     57465|       382|     57458|     57488|
|       230|       278|       281|     57495|     80703|     57488|     57769|
|       277|       278|        94|     57776|      9230|     57769|     57863|
|       200|       280|       246|     57870|     62809|     57863|     58109|
|       232|       281|       161|     58116|     28149|     58109|     58270|
|       265|       285|       174|     58277|     32164|     58270|     58444|
|       275|       285|         4|     58451|       289|     58444|     58448|
|       212|       287|       440|     58455|    197345|     58448|     58888|
|       247|       288|       176|     58895|     33212|     58888|     59064|
|       254|       288|       195|     59071|     41490|     59064|     59259|
|       284|       288|       278|     59266|     80143|     59259|     59537|
|       210|       291|       383|     59544|    150719|     59537|     59920|
|       227|       292|       455|     59927|    207654|     59920|     60375|
|       196|       294|       428|     60382|    187807|     60375|     60803|
|       197|       294|        61|     60810|      3521|     60803|     60864|
|       278|       294|       481|     60871|    226398|     60864|     61345|
|       289|       294|        93|     61352|      9136|     61345|     61438|
|       257|       298|       256|     61445|     67564|     61438|     61694|
|       255|       299|       212|     61701|     47181|     61694|     61906|
|       287|       299|       497|     61913|    240616|     61906|     62403|
|       235|       300|       384|     62410|    151871|     62403|     62787|
|       293|       300|       224|     62794|     51988|     62787|     63011|
|       253|       301|       436|     63018|    194281|     63011|     63447|
|       259|       302|       317|     63454|    102853|     63447|     63764|
|       271|       302|       151|     63771|     25644|     63764|     63915|
|       282|       302|        39|     63922|      1631|     63915|     63954|
|       269|       304|       289|     63961|     84123|     63954|     64243|
|       252|       306|       372|     64250|    141675|     64243|     64615|
|       262|       308|       355|     64622|    129289|     64615|     64970|
|       267|       308|       429|     64977|    189092|     64970|     65399|
|       281|       308|       159|     65406|     27667|     65399|     65558|
|       217|       309|        42|     65565|      1752|     65558|     65600|
|       286|       309|       206|     65607|     45509|     65600|     65806|
|       229|       310|       490|     65813|    233198|     65806|     66296|
|       261|       310|       299|     66303|     90910|     66296|     66595|
|       288|       310|       358|     66602|    131071|     66595|     66953|
|       301|       311|       247|     66960|     63794|     66953|     67200|
|       248|       312|       188|     67207|     39393|     67200|     67388|
|       244|       315|       221|     67395|     50650|     67388|     67609|
|       236|       316|       177|     67616|     33918|     67609|     67786|
|       245|       320|       330|     67793|    114193|     67786|     68116|
|       237|       323|       378|     68123|    147300|     68116|     68494|
|       251|       323|       387|     68501|    153027|     68494|     68881|
|       242|       326|        56|     68888|      3344|     68881|     68937|
|       272|       330|       429|     68944|    189521|     68937|     69366|
|       291|       330|        55|     69373|      3121|     69366|     69421|
|       300|       330|       182|     69428|     36431|     69421|     69603|
|       315|       331|       220|     69610|     49769|     69603|     69823|
|       246|       334|       435|     69830|    193845|     69823|     70258|
|       294|       334|       150|     70265|     25192|     70258|     70408|
|       304|       335|       409|     70415|    168141|     70408|     70817|
|       279|       337|         1|     70824|       338|     70817|     70818|
|       243|       338|       332|     70825|    115517|     70818|     71150|
|       258|       339|       132|     71157|     19566|     71150|     71282|
|       317|       339|       116|     71289|     13974|     71282|     71398|
|       276|       340|       333|     71405|    116182|     71398|     71731|
|       325|       340|       103|     71738|     11324|     71731|     71834|
|       274|       341|        50|     71841|      2438|     71834|     71884|
|       280|       342|       400|     71891|    161261|     71884|     72284|
|       302|       342|       360|     72291|    132866|     72284|     72644|
|       312|       343|       471|     72651|    218762|     72644|     73115|
|       335|       343|       126|     73122|     17125|     73115|     73241|
|       297|       344|       128|     73248|     18138|     73241|     73369|
|       329|       345|       157|     73376|     27193|     73369|     73526|
|       330|       345|       432|     73533|    191244|     73526|     73958|
|       292|       348|        16|     73965|       364|     73958|     73974|
|       309|       348|       341|     73981|    120231|     73974|     74315|
|       331|       350|       180|     74322|     34987|     74315|     74495|
|       256|       352|       340|     74502|    119550|     74495|     74835|
|       342|       354|       118|     74842|     14560|     74835|     74953|
|       285|       355|       131|     74960|     19434|     74953|     75084|
|       339|       355|       447|     75091|    200455|     75084|     75531|
|       283|       356|        61|     75538|      3582|     75531|     75592|
|       264|       357|        69|     75599|      4775|     75592|     75661|
|       290|       357|       448|     75668|    202244|     75661|     76109|
|       350|       357|       437|     76116|    195154|     76109|     76546|
|       270|       360|       410|     76553|    169778|     76546|     76956|
|       268|       363|        45|     76963|      1969|     76956|     77001|
|       313|       364|        55|     77008|      3176|     77001|     77056|
|       273|       366|       126|     77063|     17251|     77056|     77182|
|       333|       366|       317|     77189|    103170|     77182|     77499|
|       341|       366|       410|     77506|    170188|     77499|     77909|
|       305|       367|       260|     77916|     69629|     77909|     78169|
|       307|       369|       474|     78176|    220181|     78169|     78643|
|       296|       371|       499|     78650|    242109|     78643|     79142|
|       299|       372|       479|     79149|    224476|     79142|     79621|
|       320|       373|       359|     79628|    132146|     79621|     79980|
|       349|       374|       178|     79987|     34450|     79980|     80158|
|       361|       375|        51|     80165|      2589|     80158|     80209|
|       364|       375|       265|     80216|     71731|     80209|     80474|
|       295|       376|       449|     80481|    204038|     80474|     80923|
|       319|       376|       456|     80930|    208110|     80923|     81379|
|       303|       377|       122|     81386|     16007|     81379|     81501|
|       345|       377|       271|     81508|     75480|     81501|     81772|
|       352|       381|       390|     81779|    156917|     81772|     82162|
|       343|       382|       291|     82169|     84993|     82162|     82453|
|       334|       384|       141|     82460|     22281|     82453|     82594|
|       336|       384|        84|     82601|      7206|     82594|     82678|
|       311|       388|       301|     82685|     91809|     82678|     82979|
|       383|       388|        45|     82986|      2014|     82979|     83024|
|       308|       389|       120|     83031|     14917|     83024|     83144|
|       328|       389|       459|     83151|    210856|     83144|     83603|
|       310|       391|       373|     83610|    143165|     83603|     83976|
|       323|       391|       238|     83983|     58686|     83976|     84214|
|       367|       391|       285|     84221|     82398|     84214|     84499|
|       298|       394|       164|     84506|     28636|     84499|     84663|
|       338|       394|        20|     84670|       414|     84663|     84683|
|       322|       398|        70|     84690|      4915|     84683|     84753|
|       372|       398|       101|     84760|     10405|     84753|     84854|
|       337|       399|        52|     84861|      2692|     84854|     84906|
|       378|       399|       174|     84913|     32338|     84906|     85080|
|       388|       399|        91|     85087|      8770|     85080|     85171|
|       392|       399|        81|     85178|      6629|     85171|     85252|
|       316|       400|       310|     85259|    100976|     85252|     85562|
|       369|       400|       403|     85569|    162868|     85562|     85965|
|       385|       400|       453|     85972|    206292|     85965|     86418|
|       306|       402|       306|     86425|     97273|     86418|     86724|
|       327|       402|       327|     86731|    111237|     86724|     87051|
|       340|       402|       115|     87058|     13513|     87051|     87166|
|       346|       402|       124|     87173|     16376|     87166|     87290|
|       353|       405|       488|     87297|    231731|     87290|     87778|
|       365|       405|       469|     87785|    216882|     87778|     88247|
|       371|       406|       242|     88254|     60609|     88247|     88489|
|       376|       407|       273|     88496|     77386|     88489|     88762|
|       314|       408|       170|     88769|     31303|     88762|     88932|
|       321|       410|       318|     88939|    103805|     88932|     89250|
|       348|       410|       296|     89257|     88229|     89250|     89546|
|       370|       411|        52|     89553|      2744|     89546|     89598|
|       344|       413|       231|     89605|     54943|     89598|     89829|
|       379|       414|       397|     89836|    159664|     89829|     90226|
|       404|       414|       107|     90233|     11847|     90226|     90333|
